singular,plural,past
cuckoos,cuckoo,cuckooed
cuddles,cuddle,cuddled
cudgels,cudgel,cudgelled
cues,cue,cued
cuffs,cuff,cuffed
culls,cull,culled
culminates,culminate,culminated
cultivates,cultivate,cultivated
cultures,culture,cultured
cups,cup,cupped
curates,curate,curated
curbs,curb,curbed
curdles,curdle,curdled
cures,cure,cured
curls,curl,curled
curries,curry,curried
curses,curse,cursed
curtails,curtail,curtailed
curtains,curtain,curtained
curtsies,curtsy,curtsied
curves,curve,curved
cushions,cushion,cushioned
cuts,cut,cut
cycles,cycle,cycled
dabbles,dabble,dabbled
dabs,dab,dabbed
dadoes,dado,dadoed
dallies,dally,dallied
damages,damage,damaged
damasks,damask,damasked
damns,damn,damned
dampens,dampen,dampened
damps,damp,damped
dams,dam,dammed
dances,dance,danced
dangles,dangle,dangled
dapples,dapple,dappled
darkens,darken,darkened
darns,darn,darned
darts,dart,darted
dashes,dash,dashed
dates,date,dated
daubs,daub,daubed
daunts,daunt,daunted
dawdles,dawdle,dawdled
dawns,dawn,dawned
daydreams,daydream,daydreamed
daylights,daylight,daylighted
dazes,daze,dazed
dazzles,dazzle,dazzled
deactivates,deactivate,deactivated
deadens,deaden,deadened
deadlocks,deadlock,deadlocked
deafens,deafen,deafened
deals,deal,dealt
deans,dean,deaned
debarks,debark,debarked
debars,debar,debarred
debases,debase,debased
debates,debate,debated
debauches,debauch,debauched
debilitates,debilitate,debilitated
debits,debit,debited
debriefs,debrief,debriefed
debunks,debunk,debunked
debuts,debut,debuted
decaffeinates,decaffeinate,decaffeinated
decamps,decamp,decamped
decants,decant,decanted
decapitates,decapitate,decapitated
decays,decay,decayed
deceases,decease,deceased
deceives,deceive,deceived
decelerates,decelerate,decelerated
decentralizes,decentralize,decentralized
decides,decide,decided
decimates,decimate,decimated
deciphers,decipher,deciphered
decks,deck,decked
declaims,declaim,declaimed
declares,declare,declared
declassifies,declassify,declassified
declines,decline,declined
decodes,decode,decoded
decommissions,decommission,decommissioned
decomposes,decompose,decomposed
decompresses,decompress,decompressed
decontaminates,decontaminate,decontaminated
decorates,decorate,decorated
decoys,decoy,decoyed
decreases,decrease,decreased
decrees,decree,decreed
decries,decry,decried
dedicates,dedicate,dedicated
deduces,deduce,deduced
deducts,deduct,deducted
deems,deem,deemed
deepens,deepen,deepened
defaces,deface,defaced
defames,defame,defamed
defaults,default,defaulted
defeats,defeat,defeated
defecates,defecate,defecated
defects,defect,defected
defends,defend,defended
defers,defer,deferred
defies,defy,defied
defiles,defile,defiled
defines,define,defined
deflates,deflate,deflated
deflects,deflect,deflected
defoliates,defoliate,defoliated
deforests,deforest,deforested
deforms,deform,deformed
defrauds,defraud,defrauded
defrays,defray,defrayed
defrosts,defrost,defrosted
defuses,defuse,defused
degenerates,degenerate,degenerated
degrades,degrade,degraded
dehumanizes,dehumanize,dehumanized
dehumidifies,dehumidify,dehumidified
dehydrates,dehydrate,dehydrated
deices,deice,deiced
deifies,deify,deified
deigns,deign,deigned
dejects,deject,dejected
delays,delay,delayed
delegates,delegate,delegated
deletes,delete,deleted
deliberates,deliberate,deliberated
delights,delight,delighted
delimits,delimit,delimited
delineates,delineate,delineated
delivers,deliver,delivered
deludes,delude,deluded
deluges,deluge,deluged
delves,delve,delved
demagnetizes,demagnetize,demagnetized
demands,demand,demanded
demarcates,demarcate,demarcated
demeans,demean,demeaned
demerits,demerit,demerited
demilitarizes,demilitarize,demilitarized
demises,demise,demised
demobilizes,demobilize,demobilized
democratizes,democratize,democratized
demolishes,demolish,demolished
demonstrates,demonstrate,demonstrated
demoralizes,demoralize,demoralized
demotes,demote,demoted
demounts,demount,demounted
demurs,demur,demurred
denatures,denature,denatured
denies,deny,denied
denigrates,denigrate,denigrated
denominates,denominate,denominated
denotes,denote,denoted
denounces,denounce,denounced
dens,den,denned
dents,dent,dented
denudes,denude,denuded
deodorizes,deodorize,deodorized
departmentalizes,departmentalize,departmentalized
departs,depart,departed
depends,depend,depended
depicts,depict,depicted
depletes,deplete,depleted
deplores,deplore,deplored
deploys,deploy,deployed
depopulates,depopulate,depopulated
deports,deport,deported
deposes,depose,deposed
deposits,deposit,deposited
depraves,deprave,depraved
deprecates,deprecate,deprecated
depreciates,depreciate,depreciated
depresses,depress,depressed
deprives,deprive,deprived
deputes,depute,deputed
deputizes,deputize,deputized
derails,derail,derailed
deranges,derange,deranged
derides,deride,derided
derives,derive,derived
derogates,derogate,derogated
derricks,derrick,derricked
descends,descend,descended
descents,descent,descented
describes,describe,described
descries,descry,descried
desecrates,desecrate,desecrated
desensitizes,desensitize,desensitized
deserts,desert,deserted
deserves,deserve,deserved
desiccates,desiccate,desiccated
designates,designate,designated
designs,design,designed
desires,desire,desired
desists,desist,desisted
desolates,desolate,desolated
despairs,despair,despaired
despises,despise,despised
despoils,despoil,despoiled
destabilizes,destabilize,destabilized
destines,destine,destined
destroys,destroy,destroyed
detaches,detach,detached
details,detail,detailed
detains,detain,detained
detects,detect,detected
deteriorates,deteriorate,deteriorated
determinates,determinate,determinated
determines,determine,determined
deters,deter,deterred
detests,detest,detested
dethrones,dethrone,dethroned
detonates,detonate,detonated
detours,detour,detoured
detoxifies,detoxify,detoxified
detracts,detract,detracted
devalues,devalue,devalued
devastates,devastate,devastated
develops,develop,developed
deviates,deviate,deviated
devils,devil,devilled
devises,devise,devised
devolves,devolve,devolved
devotes,devote,devoted
devours,devour,devoured
diadems,diadem,diademed
diagnoses,diagnose,diagnosed
diagrams,diagram,diagramed
dialogues,dialogue,dialogued
dials,dial,dialed
diapers,diaper,diapered
diaphragms,diaphragm,diaphragmed
dibbles,dibble,dibbled
dices,dice,diced
dickers,dicker,dickered
dictates,dictate,dictated
dies,die,died
diets,diet,dieted
differentiates,differentiate,differentiated
differs,differ,differed
diffuses,diffuse,diffused
digests,digest,digested
digitizes,digitize,digitized
dignifies,dignify,dignified
digresses,digress,digressed
digs,dig,dug
dikes,dike,diked
dilates,dilate,dilated
dilutes,dilute,diluted
diminishes,diminish,diminished
dimples,dimple,dimpled
dims,dim,dimmed
dines,dine,dined
dins,din,dinned
dips,dip,dipped
directs,direct,directed
dirties,dirty,dirtied
disables,disable,disabled
disabuses,disabuse,disabused
disadvantages,disadvantage,disadvantaged
disaffects,disaffect,disaffected
disagrees,disagree,disagreed
disallows,disallow,disallowed
disappears,disappear,disappeared
disappoints,disappoint,disappointed
disapproves,disapprove,disapproved
disarms,disarm,disarmed
disarranges,disarrange,disarranged
disarrays,disarray,disarrayed
disassembles,disassemble,disassembled
disassociates,disassociate,disassociated
disavows,disavow,disavowed
disbands,disband,disbanded
disbars,disbar,disbarred
disbelieves,disbelieve,disbelieved
disburses,disburse,disbursed
discards,discard,discarded
discerns,discern,discerned
discharges,discharge,discharged
disciplines,discipline,disciplined
disclaims,disclaim,disclaimed
discloses,disclose,disclosed
discolors,discolor,discolored
discomfits,discomfit,discomfited
discommodes,discommode,discommoded
discomposes,discompose,discomposed
disconcerts,disconcert,disconcerted
disconnects,disconnect,disconnected
discontents,discontent,discontented
discontinues,discontinue,discontinued
discords,discord,discorded
discountenances,discountenance,discountenanced
discounts,discount,discounted
discourages,discourage,discouraged
discourses,discourse,discoursed
discovers,discover,discovered
discredits,discredit,discredited
discriminates,discriminate,discriminated
discs,disc,disced
discusses,discuss,discussed
disdains,disdain,disdained
disembarks,disembark,disembarked
disembodies,disembody,disembodied
disembowels,disembowel,disembowelled
disenchants,disenchant,disenchanted
disencumbers,disencumber,disencumbered
disenfranchises,disenfranchise,disenfranchised
disengages,disengage,disengaged
disentangles,disentangle,disentangled
dises,dis,dissed
disestablishes,disestablish,disestablished
disfavors,disfavor,disfavored
disfigures,disfigure,disfigured
disfranchises,disfranchise,disfranchised
disgorges,disgorge,disgorged
disgraces,disgrace,disgraced
disguises,disguise,disguised
disgusts,disgust,disgusted
disheartens,dishearten,disheartened
dishes,dish,dished
dishevels,dishevel,dishevelled
dishonors,dishonor,dishonored
disillusions,disillusion,disillusioned
disinclines,disincline,disinclined
disinfects,disinfect,disinfected
disinherits,disinherit,disinherited
disintegrates,disintegrate,disintegrated
disinters,disinter,disinterred
disjoints,disjoint,disjointed
disks,disk,disked
dislikes,dislike,disliked
dislocates,dislocate,dislocated
dislodges,dislodge,dislodged
dismantles,dismantle,dismantled
dismays,dismay,dismayed
dismembers,dismember,dismembered
dismisses,dismiss,dismissed
dismounts,dismount,dismounted
disobeys,disobey,disobeyed
disobliges,disoblige,disobliged
disorders,disorder,disordered
disorganizes,disorganize,disorganized
disorients,disorient,disoriented
disowns,disown,disowned
disparages,disparage,disparaged
dispatches,dispatch,dispatched
dispels,dispel,dispelled
dispenses,dispense,dispensed
disperses,disperse,dispersed
dispirits,dispirit,dispirited
displaces,displace,displaced
displays,display,displayed
displeases,displease,displeased
disposes,dispose,disposed
dispossesses,dispossess,dispossessed
disproportionates,disproportionate,disproportionated
disproves,disprove,disproved
disputes,dispute,disputed
disqualifies,disqualify,disqualified
disquiets,disquiet,disquieted
disregards,disregard,disregarded
disrespects,disrespect,disrespected
disrobes,disrobe,disrobed
disrupts,disrupt,disrupted
dissatisfies,dissatisfy,dissatisfied
dissects,dissect,dissected
dissembles,dissemble,dissembled
disseminates,disseminate,disseminated
dissents,dissent,dissented
dissimulates,dissimulate,dissimulated
dissipates,dissipate,dissipated
dissociates,dissociate,dissociated
dissolves,dissolve,dissolved
dissuades,dissuade,dissuaded
distances,distance,distanced
distempers,distemper,distempered
distends,distend,distended
distills,distill,distilled
distinguishes,distinguish,distinguished
distorts,distort,distorted
distracts,distract,distracted
distresses,distress,distressed
distributes,distribute,distributed
distrusts,distrust,distrusted
disturbs,disturb,disturbed
disunites,disunite,disunited
disuses,disuse,disused
ditches,ditch,ditched
dithers,dither,dithered
diverges,diverge,diverged
diversifies,diversify,diversified
diverts,divert,diverted
dives,dive,dived
divests,divest,divested
divides,divide,divided
divines,divine,divined
divorces,divorce,divorced
divulges,divulge,divulged
divvies,divvy,divvied
dockets,docket,docketed
docks,dock,docked
doctors,doctor,doctored
documents,document,documented
dodders,dodder,doddered
dodges,dodge,dodged
does,do,did
doffs,doff,doffed
dogs,dog,dogged
doles,dole,doled
dollies,dolly,dollied
dolls,doll,dolled
domes,dome,domed
domesticates,domesticate,domesticated
domiciles,domicile,domiciled
dominates,dominate,dominated
domineers,domineer,domineered
donates,donate,donated
dons,don,donned
doodles,doodle,doodled
dooms,doom,doomed
dopes,dope,doped
dosages,dosage,dosaged
doses,dose,dosed
dotes,dote,doted
dots,dot,dotted
doubles,double,doubled
doubts,doubt,doubted
douches,douche,douched
douses,douse,doused
dovetails,dovetail,dovetailed
dowels,dowel,dowelled
downgrades,downgrade,downgraded
downs,down,downed
downstages,downstage,downstaged
dowses,dowse,dowsed
dozes,doze,dozed
drafts,draft,drafted
dragoons,dragoon,dragooned
drags,drag,dragged
drains,drain,drained
dramatizes,dramatize,dramatized
drapes,drape,draped
drawls,drawl,drawled
draws,draw,drew
dreads,dread,dreaded
dreams,dream,dreamed
dredges,dredge,dredged
drenches,drench,drenched
dresses,dress,dressed
dribbles,dribble,dribbled
dries,dry,dried
drifts,drift,drifted
drills,drill,drilled
drinks,drink,drank
drips,drip,dripped
drivels,drivel,driveled
drives,drive,drove
drizzles,drizzle,drizzled
drones,drone,droned
drools,drool,drooled
droops,droop,drooped
drops,drop,dropped
drowns,drown,drowned
drowses,drowse,drowsed
drudges,drudge,drudged
drugs,drug,drugged
drums,drum,drummed
dubs,dub,dubbed
ducks,duck,ducked
duels,duel,dueled
dulls,dull,dulled
dumfounds,dumfound,dumfounded
dumps,dump,dumped
dunks,dunk,dunked
duns,dun,dunned
dupes,dupe,duped
duplexes,duplex,duplexed
duplicates,duplicate,duplicated
dusts,dust,dusted
dwarfs,dwarf,dwarfed
dwells,dwell,dwelt
dwindles,dwindle,dwindled
dyes,dye,dyed
dykes,dyke,dyked
dynamites,dynamite,dynamited
earmarks,earmark,earmarked
earns,earn,earned
ears,ear,eared
earths,earth,earthed
earwigs,earwig,earwigged
eases,ease,eased
eats,eat,ate
eavesdrops,eavesdrop,eavesdropped
ebbs,ebb,ebbed
echoes,echo,echoed
eclipses,eclipse,eclipsed
economizes,economize,economized
eddies,eddy,eddied
edges,edge,edged
edifies,edify,edified
editorializes,editorialize,editorialized
edits,edit,edited
educates,educate,educated
effaces,efface,effaced
effects,effect,effected
effectuates,effectuate,effectuated
effeminates,effeminate,effeminated
effervesces,effervesce,effervesced
eggs,egg,egged
egresses,egress,egressed
ejaculates,ejaculate,ejaculated
ejects,eject,ejected
ekes,eke,eked
elaborates,elaborate,elaborated
elapses,elapse,elapsed
elates,elate,elated
elbows,elbow,elbowed
electioneers,electioneer,electioneered
electrifies,electrify,electrified
electrocutes,electrocute,electrocuted
electroplates,electroplate,electroplated
elects,elect,elected
elevates,elevate,elevated
elicits,elicit,elicited
elides,elide,elided
eliminates,eliminate,eliminated
elongates,elongate,elongated
elopes,elope,eloped
elucidates,elucidate,elucidated
eludes,elude,eluded
emaciates,emaciate,emaciated
emanates,emanate,emanated
emancipates,emancipate,emancipated
emasculates,emasculate,emasculated
embalms,embalm,embalmed
embargoes,embargo,embargoed
embarks,embark,embarked
embarrasses,embarrass,embarrassed
embeds,embed,embedded
embellishes,embellish,embellished
embezzles,embezzle,embezzled
embitters,embitter,embittered
emblazons,emblazon,emblazoned
embodies,embody,embodied
emboldens,embolden,emboldened
embosses,emboss,embossed
embraces,embrace,embraced
embroiders,embroider,embroidered
embroils,embroil,embroiled
emends,emend,emended
emerges,emerge,emerged
emigrates,emigrate,emigrated
emits,emit,emitted
emotes,emote,emoted
empanels,empanel,empanelled
empathizes,empathize,empathized
emphasizes,emphasize,emphasized
employs,employ,employed
empowers,empower,empowered
empties,empty,emptied
emulates,emulate,emulated
emulsifies,emulsify,emulsified
emulsions,emulsion,emulsioned
enables,enable,enabled
enacts,enact,enacted
enamels,enamel,enamelled
enamors,enamor,enamored
encamps,encamp,encamped
encapsulates,encapsulate,encapsulated
encases,encase,encased
enchants,enchant,enchanted
encircles,encircle,encircled
encloses,enclose,enclosed
encodes,encode,encoded
encompasses,encompass,encompassed
encores,encore,encored
encounters,encounter,encountered
encourages,encourage,encouraged
encroaches,encroach,encroached
encrusts,encrust,encrusted
encrypts,encrypt,encrypted
encumbers,encumber,encumbered
endangers,endanger,endangered
endears,endear,endeared
endeavors,endeavor,endeavored
endorses,endorse,endorsed
endows,endow,endowed
ends,end,ended
endues,endue,endued
endures,endure,endured
energizes,energize,energized
enervates,enervate,enervated
enfeebles,enfeeble,enfeebled
enfolds,enfold,enfolded
enforces,enforce,enforced
enfranchises,enfranchise,enfranchised
engages,engage,engaged
engenders,engender,engendered
engineers,engineer,engineered
engorges,engorge,engorged
engraves,engrave,engraved
engrosses,engross,engrossed
engulfs,engulf,engulfed
enhances,enhance,enhanced
enjoins,enjoin,enjoined
enjoys,enjoy,enjoyed
enlarges,enlarge,enlarged
enlightens,enlighten,enlightened
enlists,enlist,enlisted
enlivens,enliven,enlivened
enmeshes,enmesh,enmeshed
ennobles,ennoble,ennobled
enquires,enquire,enquired
enrages,enrage,enraged
enraptures,enrapture,enraptured
enriches,enrich,enriched
enrolls,enroll,enrolled
enrols,enrol,enroled
ensconces,ensconce,ensconced
ensembles,ensemble,ensembled
enshrines,enshrine,enshrined
enshrouds,enshroud,enshrouded
enslaves,enslave,enslaved
ensnares,ensnare,ensnared
ensues,ensue,ensued
ensures,ensure,ensured
entails,entail,entailed
entangles,entangle,entangled
enters,enter,entered
entertains,entertain,entertained
enthralls,enthrall,enthralled
enthrals,enthral,enthraled
enthrones,enthrone,enthroned
enthuses,enthuse,enthused
entices,entice,enticed
entitles,entitle,entitled
entombs,entomb,entombed
entrances,entrance,entranced
entraps,entrap,entrapped
entreats,entreat,entreated
entrenches,entrench,entrenched
entrusts,entrust,entrusted
entwines,entwine,entwined
enumerates,enumerate,enumerated
enunciates,enunciate,enunciated
envelops,envelop,enveloped
envies,envy,envied
envisages,envisage,envisaged
envisions,envision,envisioned
epitomizes,epitomize,epitomized
equalizes,equalize,equalized
equals,equal,equalled
equates,equate,equated
equips,equip,equipped
equivocates,equivocate,equivocated
eradicates,eradicate,eradicated
erases,erase,erased
erects,erect,erected
erodes,erode,eroded
errs,err,erred
erupts,erupt,erupted
escalates,escalate,escalated
escapes,escape,escaped
eschews,eschew,eschewed
escorts,escort,escorted
espies,espy,espied
espouses,espouse,espoused
esquires,esquire,esquired
essays,essay,essayed
establishes,establish,established
esteems,esteem,esteemed
estimates,estimate,estimated
estranges,estrange,estranged
etches,etch,etched
eulogizes,eulogize,eulogized
evacuates,evacuate,evacuated
evades,evade,evaded
evaluates,evaluate,evaluated
evangelizes,evangelize,evangelized
evaporates,evaporate,evaporated
evens,even,evened
eventuates,eventuate,eventuated
evicts,evict,evicted
evidences,evidence,evidenced
evinces,evince,evinced
eviscerates,eviscerate,eviscerated
evokes,evoke,evoked
evolves,evolve,evolved
exacerbates,exacerbate,exacerbated
exacts,exact,exacted
exaggerates,exaggerate,exaggerated
exalts,exalt,exalted
examines,examine,examined
exasperates,exasperate,exasperated
excavates,excavate,excavated
exceeds,exceed,exceeded
excels,excel,excelled
excepts,except,excepted
excerpts,excerpt,excerpted
exchanges,exchange,exchanged
excises,excise,excised
excites,excite,excited
exclaims,exclaim,exclaimed
excludes,exclude,excluded
excommunicates,excommunicate,excommunicated
excoriates,excoriate,excoriated
excretes,excrete,excreted
exculpates,exculpate,exculpated
excuses,excuse,excused
execrates,execrate,execrated
executes,execute,executed
exemplifies,exemplify,exemplified
exempts,exempt,exempted
exercises,exercise,exercised
exerts,exert,exerted
exhales,exhale,exhaled
exhausts,exhaust,exhausted
exhibits,exhibit,exhibited
exhilarates,exhilarate,exhilarated
exhorts,exhort,exhorted
exhumes,exhume,exhumed
exiles,exile,exiled
exists,exist,existed
exits,exit,exited
exonerates,exonerate,exonerated
exorcises,exorcise,exorcised
expands,expand,expanded
expatiates,expatiate,expatiated
expatriates,expatriate,expatriated
expectorates,expectorate,expectorated
expects,expect,expected
expedites,expedite,expedited
expels,expel,expelled
expends,expend,expended
experiences,experience,experienced
experiments,experiment,experimented
expertizes,expertize,expertized
expiates,expiate,expiated
expires,expire,expired
explains,explain,explained
explicates,explicate,explicated
explodes,explode,exploded
exploits,exploit,exploited
explores,explore,explored
exports,export,exported
exposes,expose,exposed
expostulates,expostulate,expostulated
expounds,expound,expounded
expresses,express,expressed
expropriates,expropriate,expropriated
expunges,expunge,expunged
expurgates,expurgate,expurgated
extemporizes,extemporize,extemporized
extends,extend,extended
extenuates,extenuate,extenuated
exterminates,exterminate,exterminated
extinguishes,extinguish,extinguished
extirpates,extirpate,extirpated
extols,extol,extolled
extorts,extort,extorted
extracts,extract,extracted
extradites,extradite,extradited
extrapolates,extrapolate,extrapolated
extricates,extricate,extricated
extrudes,extrude,extruded
exudes,exude,exuded
exults,exult,exulted
eyes,eye,eyed
eyewitnesses,eyewitness,eyewitnessed
fabricates,fabricate,fabricated
faces,face,faced
facets,facet,faceted
facilitates,facilitate,facilitated
factorizes,factorize,factorized
factors,factor,factored
fades,fade,faded
fagots,fagot,fagoted
fags,fag,fagged
fails,fail,failed
faints,faint,fainted
fairs,fair,faired
fakes,fake,faked
fallows,fallow,fallowed
falls,fall,fell
falsifies,falsify,falsified
falters,falter,faltered
fames,fame,famed
familiarizes,familiarize,familiarized
famishes,famish,famished
fancies,fancy,fancied
fans,fan,fanned
fantasies,fantasy,fantasied
fares,fare,fared
farms,farm,farmed
farrows,farrow,farrowed
fascinates,fascinate,fascinated
fashions,fashion,fashioned
fastens,fasten,fastened
fasts,fast,fasted
fates,fate,fated
fathers,father,fathered
fathoms,fathom,fathomed
fatigues,fatigue,fatigued
fats,fat,fatted
fattens,fatten,fattened
faults,fault,faulted
favors,favor,favored
fawns,fawn,fawned
fazes,faze,fazed
fears,fear,feared
feasts,feast,feasted
feathers,feather,feathered
features,feature,featured
federates,federate,federated
feeds,feed,fed
feels,feel,felt
fees,fee,fee'd
feigns,feign,feigned
feints,feint,feinted
fells,fell,felled
fences,fence,fenced
fends,fend,fended
ferments,ferment,fermented
ferrets,ferret,ferreted
ferries,ferry,ferried
ferrules,ferrule,ferruled
fertilizes,fertilize,fertilized
festers,fester,festered
festoons,festoon,festooned
fetches,fetch,fetched
fetters,fetter,fettered
fettles,fettle,fettled
feuds,feud,feuded
fevers,fever,fevered
fibs,fib,fibbed
fictionalizes,fictionalize,fictionalized
fiddles,fiddle,fiddled
fidgets,fidget,fidgeted
fields,field,fielded
fights,fight,fought
figures,figure,figured
filches,filch,filched
files,file,filed
filibusters,filibuster,filibustered
fillets,fillet,filleted
fillips,fillip,filliped
fills,fill,filled
films,film,filmed
filters,filter,filtered
filtrates,filtrate,filtrated
finalizes,finalize,finalized
finances,finance,financed
finds,find,found
fines,fine,fined
finesses,finesse,finessed
fingerprints,fingerprint,fingerprinted
fingers,finger,fingered
finishes,finish,finished
finks,fink,finked
fins,fin,finned
fireproofs,fireproof,fireproofed
fires,fire,fired
firms,firm,firmed
fishes,fish,fished
fishtails,fishtail,fishtailed
fissions,fission,fissioned
fissures,fissure,fissured
fits,fit,fit
fixates,fixate,fixated
fixes,fix,fixed
fizzes,fizz,fizzed
fizzles,fizzle,fizzled
flabbergasts,flabbergast,flabbergasted
flagellates,flagellate,flagellated
flags,flag,flagged
flails,flail,flailed
flakes,flake,flaked
flames,flame,flamed
flanges,flange,flanged
flanks,flank,flanked
flaps,flap,flapped
flares,flare,flared
flashes,flash,flashed
flasks,flask,flasked
flattens,flatten,flattened
flatters,flatter,flattered
flaunts,flaunt,flaunted
flaws,flaw,flawed
flays,flay,flayed
flecks,fleck,flecked
fleeces,fleece,fleeced
flees,flee,fled
fleshes,flesh,fleshed
flexes,flex,flexed
flickers,flicker,flickered
flicks,flick,flicked
flies,fly,flew
flinches,flinch,flinched
flings,fling,flung
flips,flip,flipped
flirts,flirt,flirted
flits,flit,flitted
floats,float,floated
flocks,flock,flocked
flogs,flog,flogged
floodlights,floodlight,floodlighted
floods,flood,flooded
floors,floor,floored
flops,flop,flopped
flosses,floss,flossed
flounces,flounce,flounced
flounders,flounder,floundered
flourishes,flourish,flourished
flours,flour,floured
flouts,flout,flouted
flowers,flower,flowered
flows,flow,flowed
fluctuates,fluctuate,fluctuated
fluffs,fluff,fluffed
flummoxes,flummox,flummoxed
flunks,flunk,flunked
fluoresces,fluoresce,fluoresced
fluoridates,fluoridate,fluoridated
fluoroscopes,fluoroscope,fluoroscoped
flurries,flurry,flurried
flushes,flush,flushed
flusters,fluster,flustered
flutes,flute,fluted
flutters,flutter,fluttered
foals,foal,foaled
foams,foam,foamed
fobs,fob,fobbed
focuses,focus,focused
fogs,fog,fogged
foils,foil,foiled
foists,foist,foisted
folds,fold,folded
follows,follow,followed
foments,foment,fomented
fondles,fondle,fondled
fools,fool,fooled
footnotes,footnote,footnoted
footprints,footprint,footprinted
foots,foot,footed
fops,fop,fopped
forages,forage,foraged
forays,foray,forayed
forbears,forbear,forbore
forbids,forbid,forbade
forces,force,forced
fords,ford,forded
forecasts,forecast,forecasted
forecloses,foreclose,foreclosed
foregrounds,foreground,foregrounded
foreordains,foreordain,foreordained
foresees,foresee,foresaw
foreshadows,foreshadow,foreshadowed
foreshortens,foreshorten,foreshortened
forestalls,forestall,forestalled
forests,forest,forested
foretastes,foretaste,foretasted
foretells,foretell,foretold
forewarns,forewarn,forewarned
forfeits,forfeit,forfeited
forgathers,forgather,forgathered
forges,forge,forged
forgets,forget,forgot
forgives,forgive,forgave
forgoes,forgo,forewent
forks,fork,forked
formalizes,formalize,formalized
formats,format,formatted
forms,form,formed
formulates,formulate,formulated
fornicates,fornicate,fornicated
forsakes,forsake,forsook
forswears,forswear,forswore
fortifies,fortify,fortified
forwards,forward,forwarded
fossilizes,fossilize,fossilized
fosters,foster,fostered
fouls,foul,fouled
founders,founder,foundered
founds,found,founded
fowls,fowl,fowled
foxes,fox,foxed
fractions,fraction,fractioned
fractures,fracture,fractured
fragments,fragment,fragmented
frames,frame,framed
franchises,franchise,franchised
franks,frank,franked
fraternizes,fraternize,fraternized
frays,fray,frayed
frazzles,frazzle,frazzled
freaks,freak,freaked
freckles,freckle,freckled
frees,free,freed
freewheels,freewheel,freewheeled
freezes,freeze,froze
freights,freight,freighted
frequents,frequent,frequented
frescos,fresco,frescoed
freshens,freshen,freshened
frets,fret,fretted
fricassees,fricassee,fricasseed
fries,fry,fried
frightens,frighten,frightened
frills,frill,frilled
fringes,fringe,fringed
frisks,frisk,frisked
fritters,fritter,frittered
frizzes,frizz,frizzed
frizzles,frizzle,frizzled
frogs,frog,frogged
frolics,frolic,frolicked
fronts,front,fronted
frosts,frost,frosted
froths,froth,frothed
frowns,frown,frowned
fructifies,fructify,fructified
fruits,fruit,fruited
frustrates,frustrate,frustrated
fuddles,fuddle,fuddled
fudges,fudge,fudged
fuels,fuel,fueled
fulfills,fulfill,fulfilled
fulls,full,fulled
fulminates,fulminate,fulminated
fumbles,fumble,fumbled
fumes,fume,fumed
fumigates,fumigate,fumigated
functions,function,functioned
funds,fund,funded
funks,funk,funked
funnels,funnel,funneled
furbishes,furbish,furbished
furloughs,furlough,furloughed
furls,furl,furled
furnishes,furnish,furnished
furrows,furrow,furrowed
furs,fur,furred
furthers,further,furthered
fuses,fuse,fused
fusses,fuss,fussed
fuzzes,fuzz,fuzzed
gabbles,gabble,gabbled
gabs,gab,gabbed
gads,gad,gadded
gages,gage,gaged
gags,gag,gagged
gains,gain,gained
gainsays,gainsay,gainsaid
gaits,gait,gaited
gallops,gallop,galloped
galls,gall,galled
galvanizes,galvanize,galvanized
gambles,gamble,gambled
gambols,gambol,gambolled
games,game,gamed
gangrenes,gangrene,gangrened
gangs,gang,ganged
gaols,gaol,gaoled
gapes,gape,gaped
gaps,gap,gapped
garages,garage,garaged
garbles,garble,garbled
garbs,garb,garbed
gardens,garden,gardened
gargles,gargle,gargled
garlands,garland,garlanded
garners,garner,garnered
garnishees,garnishee,garnisheed
garnishes,garnish,garnished
garrisons,garrison,garrisoned
garrotes,garrote,garroted
gases,gas,gassed
gashes,gash,gashed
gasps,gasp,gasped
gates,gate,gated
gathers,gather,gathered
gauges,gauge,gauged
gauzes,gauze,gauzed
gawks,gawk,gawked
gazes,gaze,gazed
gazettes,gazette,gazetted
gears,gear,geared
gelds,geld,gelded
gels,jell,gelled
genders,gender,gendered
generalizes,generalize,generalized
generates,generate,generated
gentles,gentle,gentled
genuflects,genuflect,genuflected
germinates,germinate,germinated
gerrymanders,gerrymander,gerrymandered
gestates,gestate,gestated
gesticulates,gesticulate,gesticulated
gestures,gesture,gestured
gets,get,got
ghettos,ghetto,ghettoed
ghosts,ghost,ghosted
gibbers,gibber,gibbered
gibes,gibe,gibed
gifts,gift,gifted
giggles,giggle,giggled
gilds,gild,gilded
gingers,ginger,gingered
gins,gin,ginned
girdles,girdle,girdled
girds,gird,girded
gives,give,gave
gladdens,gladden,gladdened
glamorizes,glamorize,glamorized
glances,glance,glanced
glares,glare,glared
glasses,glass,glassed
glazes,glaze,glazed
gleams,gleam,gleamed
gleans,glean,gleaned
glides,glide,glided
glimmers,glimmer,glimmered
glimpses,glimpse,glimpsed
glints,glint,glinted
glistens,glisten,glistened
glitters,glitter,glittered
gloats,gloat,gloated
glories,glory,gloried
glorifies,glorify,glorified
glosses,gloss,glossed
gloves,glove,gloved
glowers,glower,glowered
glows,glow,glowed
glues,glue,glued
gluts,glut,glutted
gnarls,gnarl,gnarled
gnashes,gnash,gnashed
gnaws,gnaw,gnawed
goads,goad,goaded
gobbles,gobble,gobbled
godfathers,godfather,godfathered
goes,go,went
